gauge_ID,NAME,staion_nam
410545,TUMUT TWO PONDAGE,Tumut 2 Dam RL
410542,TUMUT POND RESERVOIR,Tumut Pond Reservoir
410572A,TALBINGO RESERVOIR,Talbingo Res - RO
410543,TANTANGARA RESERVOIR,Tantangara Dam RL
410791,YERRABI POND,Yerrabi Pond
421078,LAKE BURRENDONG,BURRENDONG DAM
410742,CORIN DAM,Corin Res. at Dam
410717,BENDORA DAM,Bendora Res. at Dam
222538,LAKE EUCUMBENE,Lake Eucumbene RL
210097,LAKE GLENBAWN,GLENBAWN DAM
410573,JOUNAMA PONDAGE,Jounama Pondage RL
410131,LAKE BURRINJUCK,BURRINJUCK DAM
210102,LOSTOCK DAM,LOSTOCK DAM
219027,BROGO RIVER,BROGO DAM
410102,BLOWERING RESERVOIR,BLOWERING DAM
410573,BLOWERING RESERVOIR,Jounama Pondage RL
421148,LAKE WINDAMERE,WINDAMERE DAM
410748,GOOGONG RESERVOIR,Googong Res at Dam
422315B,LAKE LESLIE,Leslie Dam
143036A,LAKE WIVENHOE,Wivenhoe
136316A,BOONDOOMA LAKE,Boondooma Dam
136210A,LAKE BARAMBAH,Bjelke-Petersen Dam
143048A,GOLD CREEK RESERVOIR,Gold Creek
416030,LAKE PINDARI,PINDARI DAM
142801A,LAKE SAMSONVALE,North Pine
143228A,LAKE DYER,Bill Gunn Dam L Dyer
418035,LAKE COPETON,COPETON DAM
143305A,LAKE SOMERSET,Somerset
145021A,LAKE MAROON,Maroon
422214A,JACK TAYLOR WEIR,Jack Taylor H.W.
143234A,LAKE ATKINSON,Atkinson
412010,LAKE WYANGALA,WYANGALA STORAGE
412106,CARCOAR LAKE,CARCOAR DAM
412106,CARCOAR LAKE,CARCOAR DAM
419069,CHAFFEY RESERVOIR DAM,CHAFFEY DAM
143111A,LAKE MOOGERAH,Moogerah
419080,SPLIT ROCK DAM,SPLIT ROCK DAM
416409A,LAKE COOLMUNDA,Coolmunda Dam
RE750,WEST BARWON RESERVOIR,West Barwon Res
RE704,WURDIBOLUC RESERVOIR,Wurdee Boluc Res
RE851,WEST GELLIBRAND DAM,West Gelli Reservoir
228264A,DEVILBEND RESERVOIR,DEVILBEND RESERVOIR
ODSS_18335_WSLAHD.1,SCABBY GULLY DAM,Manjimup Dam Wsl
ODSS_21168_WSLAHD.1,HELENA RIVER RESERVOIR,Mundaring Wsl-Ranger
ODSS_47683_WSLAHD.1,GLEN MERVYN DAM,Glen Mervyn Wsl - Logger
138012A,CEDAR POCKET DAM,Cedar Pocket
ODSS_21167_WSLAHD.1,VICTORIA RESERVOIR,New Victoria Water Level-Ranger
ODSS_21140_WSLAHD.1,WUNGONG RESERVOIR,Wungong Water Level-Ranger
ODSS_21166_WSLAHD.1,CANNING RESERVOIR,Canning Wsl-Ranger
130314B,LAKE CALLIDE,Callide Dam (Intake)
110014A,LAKE TINAROO,Tinaroo Falls Dam
136115A,LAKE CANIA,Cania Dam
138121A,LAKE BAROON,Baroon Pocket
135009A,LAKE MONDURAN,Fred Haigh Dam
136113A,WURAMA RESERVOIR,Wuruma Dam
138112A,LAKE BORUMBA,Yabba Ck at Borumba Dam HW
594.1,LAKE PARANGANA,PARANGANA LAKE - AT DAM
656.1,LAKE MACKINTOSH,MACKINTOSH LAKE - AT DAM
130360A,KROOMBIT CREEK DAM,Kroombit Dam
742.1,LAKE PIEMAN,PIEMAN LAKE [AT DAM]
658.1,LAKE PIEMAN,ROSEBERY LAKE [AT DAM]
656.1,LAKE ROSEBERY,MACKINTOSH LAKE - AT DAM
657.1,LAKE ROSEBERY,MURCHISON LAKE - AT DAM
658.1,LAKE ROSEBERY,ROSEBERY LAKE [AT DAM]
120016A,LAKE DALRYMPLE,Burdekin Falls Dam
604.1,LAKE PALOONA,BARRINGTON LAKE - AT DAM
627.1,LAKE PALOONA,PALOONA LAKE - AT DAM
130304B,NEVILLE HEWITT WEIR,Neville Hewitt HW
130104A,BEDFORD WEIR,Bedford Weir HW
562.1,LAKE ROWALLAN,ROWALLAN LAKE - AT DAM
298.1,LAKE BURBURY,BURBURY LAKE - AT CROTTY DAM
130354A,GYRANDA WEIR,Gyranda Weir HW
295.1,WHITE SPUR LAKE,WHITE SPUR POND - AT DAM
629.1,LAKE MACKENZIE,MACKENZIE LAKE - AT DAM
139.2,GREAT LAKE,GREAT LAKE - AT POATINA INLET
130354A,ORANGE CREEK WEIR,Gyranda Weir HW
171.1,PINE TIER LAGOON,PINE TIER LAGOON - AT DAM
158.1,LAKE TREVALLYN,TREVALLYN LAKE - AT DAM
625.1,LAKE CETHANA,CETHANA LAKE - AT DAM
296.1,LAKE NEWTON,NEWTON LAKE - AT DAM
286.1,LAKE HENTY,HENTY LAKE - AT DAM
ODSS_57389_WSLAHD.1,LAKE POONGKALIYARRA,Harding WSL - GIS logger at Damsite
130106A,BINGEGANG WEIR,Bingegang Weir H/W
657.1,LAKE MURCHISON,MURCHISON LAKE - AT DAM
294.1,LAKE PLIMSOLL,PLIMSOLL LAKE - AT INTAKE
130338A,GLEBE WEIR,Dawson_R Glebe Wr HW
120211A,LAKE EUNGELLA,Eungella Dam
418.1,ARTHURS LAKE,ARTHURS LAKE - AT PUMP STATION
613.1,LAKE GAIRDNER,GAIRDNER LAKE - AT DAM
604.1,LAKE BARRINGTON,BARRINGTON LAKE - AT DAM
625.1,LAKE BARRINGTON,CETHANA LAKE - AT DAM
155.1,LAKE AUGUSTA,AUGUSTA LAKE - AT INTAKE
203042,TOONUMBAR DAM,TOONUMBAR DAM STO
sp-o10814,LAKE MULWALA,Yarrawonga Weir
135008A,BUCCA WEIR,Bucca Weir
136023A,NED CHURCHWARD WEIR,Ned Churchward HW
136020A,BEN ANDERSON BARRAGE,Ben Anderson Barrage
136003C,CLAUDE WHARTON WEIR,Claude Wharton HW
125008A,MARIAN WEIR,Mirani Weir HW
125008A,MIRANI WEIR,Mirani Weir HW

