staion_nam,gauge_ID,lat,lon,NEAR_FID,NEAR_DIST
Dawson at Theodore,130305A,-24.951,150.07385,545,0.000184822
Dawson_R Glebe Wr HW,130338A,-25.46367,150.03441,608,0.000426524
Di Fri Dam,607035,-34.29937282,116.0512708,408,0.017139546
Dock Lake,DOCK,-36.77281,142.29673,23,0
Drakes Bk Water level Logger,ODSS_58804_WSLAHD.1,-32.8579655,115.9525355,-1,-1
Drakes Bk Wsl,ODSS_18319_WSLAHD.1,-32.8579655,115.9525355,-1,-1
"Drakes Brook Dam Daily Dam Water Level, Bunbury, S",PI_342968.1,-32.8579655,115.9525355,-1,-1
ECHO LAKE - AT DAM,176.1,-42.21657222,146.6395694,-1,-1
EILDON,sp-o10334,-37.22512324,145.9320494,5,0
EUROLEY LAGOON,41010297,-34.6401,146.3662,-1,-1
Elmhurst Storage,ELMHURST,-37.194854,143.251071,-1,-1
Enoggera,143047A,-27.446614,152.9214275,221,0
Eungella Dam,120211A,-21.13809,148.387649,609,3.19363E-05
Evolution Dam HW,136022A,-25.23593634,151.7986008,-1,-1
Ewlyamartup,6090057,-33.69808534,117.7372598,-1,-1
FELLMONGERS C AT RES,233272A,-37.54817112,143.9331475,25,8.2032E-05
Fairbairn Dam,130216A,-23.65246,148.07425,561,0
Fitzroy Falls,215235.1,-34.6424245,150.4984335,167,0
Fitzroy Falls,215235.3,-34.6424245,150.4984335,167,0
Fred Haigh Dam,135009A,-24.87195,151.84938,469,0
GAIRDNER LAKE - AT DAM,613.1,-41.47230556,146.0731111,613,7.0287E-05
GANDANGARR@THIRLMERE,212068,-34.21793808,150.5434691,-1,-1
GANMAIN NO1 LAGOON,41010294,-35.0065,147.033,-1,-1
GANMAIN NO2 LAGOON,41010295,-35.0097,147.0341,-1,-1
GLENBAWN DAM,210097,-32.1026,150.9926,187,0.000308639
GLENLYON DAM,416315A,-90,141,-1,-1
GLENNIES CREEK DAM,210117,-32.36342393,151.2486243,152,0.000307176
GOGELDRIE STORAGE,41010922,-34.6165,146.2579,181,0
GOORAGOOL LAGOON,41010300,-34.5833,146.0853,268,0.016730059
GORAN LK@HOKEY POKEY,419066,-31.3061,150.2,-1,-1
GORDON LAKE [AT INTAKE],646.1,-42.73972222,145.9816667,-1,-1
GREAT LAKE - AT POATINA INLET,139.2,-41.83861111,146.8277222,554,0
GREAVES CK @ MEDLOW,212284,-33.65861165,150.2991665,176,0.000277608
GREAVES CREEK AT DAM,212285,-33.65472266,150.3088892,213,0
GREENVALE RESERVOIR,229407A,-37.6293,144.902,42,0
Gandy Dam 1,607036,-34.31945913,116.0812605,-1,-1
Gandy Dam 2,607037,-34.29630385,116.082871,-1,-1
Geehi at Geehi Res,401570,-36.29963611,148.3169389,77,0
Giru Weir HW,119007A,-19.510482,147.112145,665,3.09388E-06
"Glen Mervyn Dam Daily Dam Water Level, Bunbury, So",PI_342969.1,-33.4982675,116.100211,424,0
Glen Mervyn Wsl,ODSS_18332_WSLAHD.1,-33.4982675,116.100211,424,0
Glen Mervyn Wsl - Logger,ODSS_47683_WSLAHD.1,-33.4982675,116.100211,424,0
Gold Creek,143048A,-27.4596495,152.877827,238,0
Gong Gong,CHWGONR,-37.5451755,143.93521,25,0
Googong Res at Dam,410748,-35.42125,149.2634167,214,0
Gorge Weir (SA Water),SAWTOGOWR.1,-34.85586423,138.7311211,-1,-1
Goulburn Weir,sp-o10438,-36.71753229,145.1711321,28,0.000178175
Grahamstown Dam,M316,-32.767842,151.7932333,101,0
Grahamstown Dam,D13,-32.767842,151.7932333,101,0
Greaves Creek,212285.3,-33.6560655,150.307351,213,0
Greaves Creek,212285.1,-33.6560655,150.307351,213,0
Green Lake,GREEN,-36.79225,142.2921,33,0
Greens Lake,sp-o10454,-36.433798,144.834474,2,0
Gumeracha Weir (SA Water),SAWGUMWR.1,-34.82146043,138.8521103,-1,-1
Gungahlin Pond,410788,-35.19186111,149.1058333,171,2.05913E-05
Guthega Pondage RL,222537,-36.37904722,148.3705056,116,0
Gyranda Weir HW,130354A,-25.2841,150.18245,529,6.18971E-05
HAY STORAGE,41010928,-34.5252,144.7116,295,0.000707431
HENTY LAKE - AT DAM,286.1,-41.88027778,145.5494444,590,0
HOPE VALLEY RESERVOIR @ Hope Valley,A5040547.1,-34.85638869,138.6843562,334,0
HUME,sp-o10510,0,0,-1,-1
HUME DAM,409011,-36.0899,147.0585,41,0
HUME DAM STORAGE,401027,-36.0885,147.0539,41,0
Happy Valley Reservoir (SA Water),SAWHAPVRS.1,-35.07251623,138.5715183,312,0
"Harding Daily Dam Water Level, West Pilbara, North",PI_13770.1,-21.0118435,117.1161005,599,0
Harding Dam,ODSS_22257_SLEVELM.1,-21.0118435,117.1161005,599,0
Harding Dam Water Levels - Site Readings,ODSS_46616_WSLAHD.1,-21.0118435,117.1161005,599,0
Harding WSL - GIS logger at Damsite,ODSS_57389_WSLAHD.1,-21.0118435,117.1161005,599,0
"Harris Dam Daily Dam Water Level, Bunbury, South W",PI_342971.1,-33.215313,116.139168,448,0
Harris Wsl,ODSS_18331_WSLAHD.1,-33.215313,116.139168,448,0
Harris Wsl - Logger,ODSS_56221_WSLAHD.1,-33.215313,116.139168,448,0
"Harvey Dam Daily Dam Water Level, Bunbury, South W",PI_342988.1,-33.078503,115.95149,406,0
Harvey Dam Water Level,ODSS_45321_SLEVELM.1,-33.078503,115.95149,406,0
Harvey Dam Water Level-Logger,ODSS_47866_WSLAHD.1,-33.078503,115.95149,406,0
Harvey Dam Water Level-Manual,ODSS_55912_WSLAHD.1,-33.078503,115.95149,406,0
Hinze,146033A,-28.065228,153.2887845,-1,-1
Hope Valley Reservoir (SA Water),SAWHOPVRS.1,-34.85185505,138.685684,334,0.000121382
INFLOW @ EASTERNSPIL,41200211,-33.46286107,145.9915817,36,0
INNEASTERN@LAKE BREW,41200216,-33.46409217,145.9607861,36,0
IP109,D20,-32.78613889,151.8172333,-1,-1
IRIS PARK SWAMP,41010292,-35.087,147.2261,-1,-1
Isabella Pond,410653,-35.42263889,149.0763056,146,0.004994009
Isis OS,136026A,-25.02488333,152.2357056,-1,-1
Island Bend Pondage,222539,-36.31494722,148.4826556,64,0
JACKSON @ ROSSLYNNE,230216A,-37.4748,144.56893,-1,-1
JEMALONG STORAGE,412172,-33.3999,147.776,-1,-1
Jack Taylor H.W.,422214A,-28.03861111,148.5716667,315,0
Jetty 4099,6090056,-33.58389436,116.7917254,-1,-1
Joe Sippel Weir HW,136215A,-26.268485,152.006693,-1,-1
John Goleby Weir,136120A,-25.254314,151.145612,667,0.002341173
Jones Weir HW,136004A,-25.59481676,151.2963609,-1,-1
Jounama Pondage RL,410573,-35.56149444,148.3066528,188,0.000128399
Julius Dam,913015B,-20.129421,139.71463,640,0.000374621
Julius Dam HW,913015A,-20.167982,139.734708,640,0
KEEPIT DAM,419041,-30.8792,150.4928,48,0
KING WILLIAM LAKE - AT DAM,128.1,-42.26672222,146.2614444,-1,-1
KIRKS RES,CHWKIRR,0,0,-1,-1
KORJAMNUNNIP C-PYKES,231222A,-37.7446,144.57,-1,-1
Kangaroo Creek Reservoir (SA Water),SAWKACKRS.1,-34.86293916,138.7865552,261,0
Kellys,130,-23.00390182,150.6916227,593,0
Kerferd Reservoir,RES_BEEWKFS,-36.36945,146.73854,285,5.64456E-05
Kidston HW,917116A,-19.03644444,144.1226583,-1,-1
Kinchant Dam HW,126004A,-21.21272222,148.8993889,459,0
Kirar Weir HW,136121A,-25.34556,151.079067,668,0.000528275
Kolan Barrage,135010B,-24.7849,152.18905,662,0.000428159
Korweinguboora Reser,RE690,-37.5103,144.1489,54,0.000440839
Kroombit Dam,130360A,-24.41608333,150.7721389,483,7.85328E-05
"Kununurra Diversion Dam Daily Water Level, North W",PI_358347.1,-15.7918695,128.695244,-1,-1
Kununurra Dv. Water Levels SCADA,ODSS_61661_WSLAHD.1,-15.7918695,128.695244,-1,-1
Kununurra Dv. Wsl,ODSS_18313_WSLAHD.1,-15.7918695,128.695244,-1,-1
L Albt Meningie Dly,A4261057,-35.68119708,139.3404421,18,0
L Alex /Milang Daily,A4261004,-35.40594922,138.9774083,17,0
L Alex/Mulgundawa,A4260574,-35.3473,139.2441,17,0
L Ginninderra at Dam,410765,-35.22252778,149.0651389,154,0.000830107
L PAMARAROO   COPI H,425021,-32.3,142.44,38,0
L TANDURE@STORAGE,425047,0,0,-1,-1
L Vic /SE Corner,A4261061,-34.027,141.3234,43,0
L Vic /SW Corner,A4261060,-34.0262,141.28,43,0
L WETHERELL TANDURE,425020,-32.3076,142.5043,386,0
L WETHERELL@STORAGE,425046,-32.30756717,142.5043165,386,0
LA TROBE R NARRACAN,226236A,-38.17110375,146.3401354,-1,-1
LACHLAN LAKE B WEIR,412048,-33.395,145.9863,-1,-1
LAKE CAWNDILLA,425023,-32.5253,142.2205,57,0
LAKE CRESCENT AT TEA TREE POINT LAKE LEVEL,4205.1,-42.16092375,147.15573,-1,-1
LAKE MENINDEE,425022,-32.2956,142.3682,6,0
LAKE PAMAMAROO,42510036,-32.3,142.44,38,0
LAKE SORELL AT CHILLON POINT LAKE LEVEL,4206.1,-42.14126818,147.1770298,-1,-1
LAL LAL C BEALES RES,232219A,-37.54143987,144.0265923,-1,-1
LAL LAL C WILSON RES,232220A,-37.51437,144.01766,0,0.000108038
LAL LAL RES. H.G.,232222A,-37.67679004,144.0743393,30,0
LANDSBOROUGH RES HG,415275A,-37.02919537,143.1391578,-1,-1
LATROBE @ YALLOURN,226400B,-38.17128,146.35513,-1,-1
LAUGHING JACK LAGOON - AT DAM,211.1,-42.17583333,146.3306389,-1,-1
LEXTON RES. H.G.,407326A,-37.2794,143.54474,-1,-1
LIAPOOTAH POND - AT DAM,579.1,-42.31836111,146.4724167,-1,-1
LITTLE PARA RIVER @ Little Para Reservoir,A5040528.1,-34.7536679,138.7190911,259,4.62427E-05
LITTLE PINE LAGOON - AT DAM,236.1,-42.01083333,146.59,499,0.000308133
LOSTOCK DAM,210102,-32.3292,151.4569,202,0.000460598
Laanecoorie Reservoir,sp-o10606,-36.83120534,143.8917144,27,0.002687315
Lake Albert,LKALBERT,-90,141,-1,-1
Lake Alexandrina,LKALEX,-90,141,-1,-1
Lake Argyle Dam,ODSS_22241_GLEVN.1,-16.1135755,128.732855,-1,-1
Lake Argyle Water level Logged on SCADA,ODSS_58794_WSLAHD.1,-16.1135755,128.732855,-1,-1
Lake Awoonga,63,-24.06961795,151.310746,471,7.49489E-05
Lake Batyo Catyo,BATYO_CATYO,-36.51393,142.93644,7,0
Lake Bellfield,LAKE_BELLFIELD,-37.19361,142.55186,60,0
Lake Buffalo,sp-o10109,-36.731584,146.65682,13,0
Lake Eppalock,sp-o10350,-36.8510207,144.5312227,29,0
Lake Eucumbene RL,222538,-36.13036389,148.6139778,186,0.000235359
Lake Fyans,LAKE_FYANS,-37.15575,142.62148,14,0.006608677
Lake Jindabyne RL,222540,-36.34611111,148.6062472,70,0.000679283
Lake Kurwongbah,142108A,-27.2434645,152.9599645,-1,-1
Lake Lonsdale,LAKE_LONSDALE,-37.02513,142.62308,82,0
Lake MacDonald,138122A,-26.392392,152.9365115,465,0
Lake Manchester,143049A,-27.481165,152.7657155,314,0
Lake Medlow,212284.1,-33.658383,150.2969155,176,0
Lake Medlow,212284.3,-33.658383,150.2969155,176,0
Lake Mokoan,sp-o10806,-36.458796,146.092765,26,0
Lake Nillahcootie,sp-o10930,-36.8849555,145.99946,9,0
Lake Paluma,9575,-18.954914,146.1469045,520,0
Lake Tuggeranong Dam,410784,-35.40872222,149.0635556,146,6.29987E-06
Lake Vic/Outlet Reg,A4260553,-34.03894794,141.276493,43,0
Lake Victoria,4261093,-33.9837,141.2764,43,0
Lake Victoria WL,A4261093,-33.9837,141.2764,43,0
Lake William Hovell,sp-o11590,-36.91340337,146.3863558,45,0.001873218
Lauriston Reservoir,LAURISTON,-37.267355,144.392061,55,0
Lemon Tree Weir HW,422349A,-27.75328,151.312,-1,-1
Lenthalls Dam HW,137303A,-25.40012969,152.5297982,460,0.001041791
Leslie Dam,422315B,-28.216593,151.91816,218,0
Leslie Harrison,145035A,-27.5393,153.170864,-1,-1
Little Nerang,146034A,-28.1526195,153.283608,-1,-1
Little Para Reservoir (SA Water),SAWLPRS.1,-34.7451221,138.725295,259,0
Logan R at Bromelton Dam HW,145034A,-27.946,152.9539,-1,-1
Logue Brook Wsl,ODSS_18317_WSLAHD.1,-32.9983065,115.97324,419,0
Logue Brook Wsl - Logger,ODSS_57330_WSLAHD.1,-32.9983065,115.97324,419,0
"Logues Brook Dam Daily Dam Water Level, Bunbury, S",PI_342989.1,-32.9983065,115.97324,419,0
Loombah Reservoir,RES_BENWLOR,-36.7208,146.219074,44,0.000142617
Lower Cascade,212282.3,-33.685222,150.3044255,177,0
Lower Cascade,212282.1,-33.685222,150.3044255,177,0
Lower Stranger Pond,410654,-35.42916667,149.0681944,146,0.011364038
Luzny Dam,607041,-34.29642936,116.0403728,408,0.015410612
MACALISTER @ GLENMAG,225225A,-37.90833333,146.8,-1,-1
MACKENZIE LAKE - AT DAM,629.1,-41.68027778,146.3831944,551,0
MACKINTOSH LAKE - AT DAM,656.1,-41.69722222,145.6463889,480,0
MALPAS DAM,206036,-30.2894,151.7372,143,0
MARGARET LAKE - AT DAM,370.1,-41.99158333,145.5715,560,0.000122418
MAUDE STORAGE,41010941,-34.4763,144.3047,194,0
MCCALLUMS C EVAN RES,407333A,-37.27562072,143.6541953,110,0
MCKENNAS LAGOON,41010304,-34.4298,145.5102,-1,-1
MEADOWBANK LAKE - AT DAM,565.1,-42.61080556,146.8457778,-1,-1
MENINDEE@COPI HOLLOW,42510037,-32.2674,142.3869,-1,-1
MILLBROOK RESERVOIR @ DAM EMBANKMENT,A5040520.1,-34.83259978,138.806997,231,0
MITCHAM MR WR10,229409A,-37.822121,145.191501,-1,-1
MOLLEYS LAGOON,41010298,-34.723,146.3459,-1,-1
MOORABOOL WB RES HG,232217A,-37.51551006,144.0847696,39,0
MORANG MR WR33,229413A,-37.645413,145.087531,-1,-1
MOUNT WAVERLEY WR15,229410A,-37.872252,145.137518,-1,-1
MURCHISON LAKE - AT DAM,657.1,-41.78277778,145.6463889,602,0
MUSICAL GULLY RES.,236228A,-37.37794925,143.3790836,-1,-1
MYPONGA RIVER @ Myponga Reservoir,A5020501.1,-35.40014743,138.4201946,384,0.000415079
Malmsbury Reservoir,MALMSBURY,-37.210576,144.370136,24,0
"Manjimup Dam Daily Dam Water Level, South West Reg",PI_342996.1,-34.2788675,116.04553,408,0
Manjimup Dam Wsl,ODSS_18335_WSLAHD.1,-34.2788675,116.04553,408,0
Marengo Basin,SB903,-38.77977607,143.6555179,-1,-1
Marian Weir HW,125003A,-21.141222,148.936264,669,0.000266035
Maroon,145021A,-28.189798,152.644859,308,0
Mary River Barrage,138013B,-25.5884,152.62535,670,0.003591113
McCallsay Reservoir,RES_BENWMSR,-36.788587,146.210809,61,0
McCay Storage,MCCAY,-37.091096,144.300013,12,0
Meander Loop Basin,A4260601,-34.04561161,141.2518774,43,0.012082777
Middle Cascade,212281.3,-33.690155,150.3026625,196,0
Middle Cascade,212281.1,-33.690155,150.3026625,196,0
Millbrook Reservoir (SA Water),SAWMILBRS.1,-34.82773248,138.8143135,231,0
Mirani Weir HW,125008A,-21.17788,148.83,672,0.000576861
Montpellier Basin,SB049,-38.15875126,144.312537,-1,-1
"Moochalabra Daily Dam Water Level, North West Regi",PI_359775.1,-15.6183465,128.102765,-1,-1
Moochalabra WSL,ODSS_39563_WSLAHD.1,-15.6183465,128.102765,-1,-1
Moochalabra WSL Logged DOW,ODSS_55089_WSLAHD.1,-15.6183465,128.102765,-1,-1
Moogerah,143111A,-28.0435625,152.540456,388,0
Moolabah Weir,4222007A,-27.991932,148.735166,352,0
Moora Moora Reservoir,MOORA,-37.22993,142.42362,115,0
Moura Off-stream,130351A,-24.608948,149.971783,574,5.51351E-05
Moura Weir HW,130350B,-24.61006,149.94202,503,0.000419005
Mt Bold Reservoir (SA Water),SAWMTBORS.1,-35.11934755,138.7095377,349,0
Mt Cole Reservoir,MT_COLE,-37.28187,143.20495,122,0
Mt Stuart Res [SCADA Probes],HDR4.HDR4TK04,-42.874,147.297,-1,-1
Mundaring Dam Storage Volume,ODSS_12030_STAMN.1,-31.9913885,116.215395,410,0
Mundaring Water levels - SCADA,ODSS_52306_WSLAHD.1,-31.9913885,116.215395,410,0
"Mundaring Weir Daily Dam Water Level, Perth Region",PI_230045.1,-31.9913885,116.215395,410,0
Mundaring Wsl-Logger,ODSS_53437_WSLAHD.1,-31.9913885,116.215395,410,0
Mundaring Wsl-Ranger,ODSS_21168_WSLAHD.1,-31.9913885,116.215395,410,0
Mundic West Sump,130372A,-23.643825,150.3736639,-1,-1
Murray 2 Dam,401571,-36.23772778,148.1811528,103,0.002395991
Myponga Reservoir (SA Water),SAWMYPRS.1,-35.39704456,138.4352397,384,0
NAMOI@GUNIDGERA STOR,419060,-30.20115,149.4371667,-1,-1
NAMOI@MOLLEE WR STOR,419062,-30.26515,149.70085,-1,-1
NARRANDERA SF LAGOON,41010296,-34.7391,146.5206,-1,-1
NEWTON LAKE - AT DAM,296.1,-41.91083333,145.5652778,589,0.000416963
NIMMIE STORAGE,41010287,-34.5011,144.3045,194,0.015906511
NINE MILE LAGOON,41010305,-34.5491,144.7126,-1,-1
NORTH ESSENDON WR6,229408A,-37.723443,144.904097,-1,-1
NORTHERN @ U/SOFREGU,41200213,-33.42634145,145.9420946,36,0
NOTTING HILL WR17,229411A,-37.902431,145.126615,-1,-1
Near Waltowa Swamp,A4261153,-35.60295223,139.3363968,18,0
Ned Churchward HW,136023A,-25.0515,152.09945,663,0.000470827
Nepean,212205.3,-34.360153,150.593278,193,0
Nepean,212205.1,-34.360153,150.593278,193,0
Neville Hewitt HW,130304B,-24.172467,149.813974,505,0.000728033
New Victoria WSL - Logger Data,ODSS_45533_WSLAHD.1,-32.043836,116.075355,430,0
New Victoria Water Level-Ranger,ODSS_21167_WSLAHD.1,-32.043836,116.075355,430,0
Newlyn Reservoir,sp-o10926,-37.408774,144.007265,53,0
Nil Gully Reservoir,RES_MYRWNGR,-36.561487,146.741251,-1,-1
No 7 Dam,132,-23.64198256,150.4061572,585,0
"North Dandalup Main Dam Daily Dam Water Level, Per",PI_14564.1,-32.517006,116.0284705,434,0
North Pine,142801A,-27.2615345,152.8984545,274,0
Nth Dandalup WSL - Logger Data,ODSS_45531_WSLAHD.1,-32.517006,116.0284705,434,0
Nth Dandalup Water Level-Ranger,ODSS_21138_WSLAHD.1,-32.517006,116.0284705,434,0
OBERON DAM,421189,-33.72500784,149.8646464,147,0
